Detector,Profile,File,Threshold,Score,TP,TN,FP,FN,Total_Count
BreakoutDetection,standard,artificialWithAnomaly/art_daily_nojump.csv,0.5,-2.54558392353,1,2992,33,402,4032
BreakoutDetection,standard,realAdExchange/exchange-2_cpc_results.csv,0.5,-9.7049118855,14,1117,101,149,1624
BreakoutDetection,standard,realAdExchange/exchange-4_cpm_results.csv,0.5,-4.0,0,1233,0,164,1643
BreakoutDetection,standard,realTweets/Twitter_volume_CRM.csv,0.5,-3.0,0,13559,0,1593,15902
BreakoutDetection,standard,realAdExchange/exchange-3_cpm_results.csv,0.5,-1.0,0,1155,0,153,1538
BreakoutDetection,standard,artificialNoAnomaly/art_daily_small_noise.csv,0.5,-3.96,0,3392,36,0,4032
BreakoutDetection,standard,realTweets/Twitter_volume_IBM.csv,0.5,-2.0,0,13553,0,1590,15893
BreakoutDetection,standard,realAWSCloudwatch/ec2_cpu_utilization_fe7f93.csv,0.5,-2.67462048706,8,2991,32,397,4032
BreakoutDetection,standard,realAWSCloudwatch/ec2_cpu_utilization_825cc2.csv,0.5,0.786686157122,1,3083,2,342,4032
BreakoutDetection,standard,artificialNoAnomaly/art_daily_perfect_square_wave.csv,0.5,-2.64,0,3404,24,0,4032
BreakoutDetection,standard,realTraffic/TravelTime_387.csv,0.5,-2.62031985833,2,1862,14,247,2500
BreakoutDetection,standard,realKnownCause/nyc_taxi.csv,0.5,-63.4645916692,67,7892,643,968,10320
BreakoutDetection,standard,realTweets/Twitter_volume_FB.csv,0.5,-2.0,0,13501,0,1582,15833
BreakoutDetection,standard,realAWSCloudwatch/ec2_cpu_utilization_53ea38.csv,0.5,-2.0,0,3026,0,402,4032
BreakoutDetection,standard,realAWSCloudwatch/ec2_disk_write_bytes_c0d644.csv,0.5,-3.32996863433,0,3020,3,405,4032
BreakoutDetection,standard,realAWSCloudwatch/ec2_cpu_utilization_ac20cd.csv,0.5,-1.22,0,3023,2,403,4032
BreakoutDetection,standard,realAWSCloudwatch/ec2_network_in_5abac7.csv,0.5,-0.13577021912,3,3547,0,471,4730
BreakoutDetection,standard,realTweets/Twitter_volume_CVS.csv,0.5,-3.0,0,13577,0,1526,15853
BreakoutDetection,standard,realKnownCause/machine_temperature_system_failure.csv,0.5,-6.13031527879,12,19594,83,2256,22695
BreakoutDetection,standard,realTweets/Twitter_volume_KO.csv,0.5,-3.0,0,13514,0,1587,15851
BreakoutDetection,standard,realTraffic/occupancy_t4013.csv,0.5,-1.70574485154,13,1841,34,237,2500
BreakoutDetection,standard,artificialNoAnomaly/art_flatline.csv,0.5,0.0,0,3428,0,0,4032
BreakoutDetection,standard,realAdExchange/exchange-4_cpc_results.csv,0.5,-3.0,0,1232,0,165,1643
BreakoutDetection,standard,realKnownCause/rogue_agent_key_updown.csv,0.5,-2.0,0,4035,0,530,5315
BreakoutDetection,standard,artificialNoAnomaly/art_noisy.csv,0.5,-30.03,0,3155,273,0,4032
BreakoutDetection,standard,realTraffic/occupancy_6005.csv,0.5,-6.23079738363,6,1717,67,233,2380
BreakoutDetection,standard,artificialWithAnomaly/art_daily_jumpsup.csv,0.5,-2.33357762435,6,2994,31,397,4032
BreakoutDetection,standard,realTweets/Twitter_volume_AMZN.csv,0.5,-4.0,0,13501,0,1580,15831
BreakoutDetection,standard,realTraffic/TravelTime_451.csv,0.5,0.697762796957,3,1619,2,214,2162
BreakoutDetection,standard,artificialNoAnomaly/art_daily_no_noise.csv,0.5,-4.62,0,3386,42,0,4032
BreakoutDetection,standard,realAdExchange/exchange-3_cpc_results.csv,0.5,-3.0,0,1155,0,153,1538
BreakoutDetection,standard,realTweets/Twitter_volume_GOOG.csv,0.5,-3.0,0,13660,0,1432,15842
BreakoutDetection,standard,realTraffic/speed_t4013.csv,0.5,1.78578995297,8,1870,1,242,2495
BreakoutDetection,standard,realTweets/Twitter_volume_PFE.csv,0.5,-4.0,0,13520,0,1588,15858
BreakoutDetection,standard,artificialWithAnomaly/art_load_balancer_spikes.csv,0.5,0.848792634636,17,3021,4,386,4032
BreakoutDetection,standard,realTraffic/speed_7578.csv,0.5,-0.528211414875,4,837,5,112,1127
BreakoutDetection,standard,realKnownCause/cpu_utilization_asg_misconfiguration.csv,0.5,0.985876389014,2,15801,0,1497,18050
BreakoutDetection,standard,realKnownCause/rogue_agent_key_hold.csv,0.5,-0.884296850947,2,1402,8,188,1882
BreakoutDetection,standard,realAWSCloudwatch/iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,0.5,-0.222315584723,3,929,2,123,1243
BreakoutDetection,standard,realKnownCause/ec2_request_latency_system_failure.csv,0.5,-3.0,0,3082,0,346,4032
BreakoutDetection,standard,realAWSCloudwatch/grok_asg_anomaly.csv,0.5,-3.11,0,3462,1,465,4621
BreakoutDetection,standard,realTweets/Twitter_volume_AAPL.csv,0.5,-4.0,0,13564,0,1588,15902
BreakoutDetection,standard,artificialWithAnomaly/art_increase_spike_density.csv,0.5,-1.0,0,3025,0,403,4032
BreakoutDetection,standard,realAWSCloudwatch/ec2_cpu_utilization_24ae8d.csv,0.5,-2.0,0,3026,0,402,4032
BreakoutDetection,standard,realAWSCloudwatch/ec2_network_in_257a54.csv,0.5,-1.0,0,3025,0,403,4032
BreakoutDetection,standard,realTraffic/speed_6005.csv,0.5,-7.93536909596,11,1805,81,228,2500
BreakoutDetection,standard,realAWSCloudwatch/rds_cpu_utilization_cc0c53.csv,0.5,-2.11,0,3025,1,402,4032
BreakoutDetection,standard,artificialWithAnomaly/art_daily_jumpsdown.csv,0.5,-2.23554930557,4,2994,31,399,4032
BreakoutDetection,standard,realAWSCloudwatch/ec2_disk_write_bytes_1ef3de.csv,0.5,-1.0,0,3548,0,473,4730
BreakoutDetection,standard,realTweets/Twitter_volume_UPS.csv,0.5,-7.54736164295,26,13456,75,1559,15866
BreakoutDetection,standard,realAWSCloudwatch/rds_cpu_utilization_e47b3b.csv,0.5,-2.22,0,3024,2,402,4032
